City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,areia branca,-4.9561,-37.1369,33.11,67,16,8.35,BR,1670613602
112,cockburn town,21.4612,-71.1419,26.98,54,40,5.14,TC,1670613603
113,new norfolk,-42.7826,147.0587,10.72,70,34,1.06,AU,1670613603
114,muravlenko,63.7898,74.523,-25.58,97,99,7.79,RU,1670613603
115,guerrero negro,27.9769,-114.0611,19.1,48,0,6.06,MX,1670613604
116,sambava,-14.2667,50.1667,24.55,86,5,5.57,MG,1670613604
117,praia,14.9215,-23.5087,25.3,73,20,8.23,CV,1670613468
118,vestmannaeyjar,63.4427,-20.2734,1.62,56,0,3.3,IS,1670613605
119,faanui,-16.4833,-151.75,26.7,73,41,4.13,PF,1670613605
120,lluta,-16.0147,-72.0142,15.16,66,97,5.08,PE,1670613606
121,grand gaube,-20.0064,57.6608,25.22,69,72,2.24,MU,1670613606
122,kurduvadi,18.0833,75.4333,19.04,34,72,4.42,IN,1670613606
123,pedernales,18.0384,-71.744,26.46,60,0,2.77,DO,1670613607
124,ancud,-41.8697,-73.8203,15.5,71,21,4.82,CL,1670613557
125,lensk,60.7253,114.9278,-16.23,89,100,5.51,RU,1670613607
126,piedmont,37.8244,-122.2316,13.01,82,75,1.34,US,1670613608
127,ixtapa,20.7,-105.2,28.46,61,0,3.6,MX,1670613608
128,vila velha,-20.3297,-40.2925,28.97,82,20,4.63,BR,1670613609
129,lata,40.1629,-8.3327,12.73,98,32,1.37,PT,1670613610
130,belize,17.25,-88.75,27.18,93,27,1.28,BZ,1670613610
131,carbonear,47.7332,-53.2148,4.22,95,11,5.9,CA,1670613322
132,manica,49.0,-1.1667,-0.04,89,74,1.08,FR,1670613611
133,cape town,-33.9258,18.4232,21.72,73,40,4.12,ZA,1670613358
134,sao joao da barra,-21.6403,-41.0511,29.05,78,2,5.61,BR,1670613611
135,srednekolymsk,67.45,153.6833,-40.33,96,87,3.86,RU,1670613612
136,cidreira,-30.1811,-50.2056,24.8,74,0,5.74,BR,1670613613
137,zhigansk,66.7697,123.3711,-30.87,96,100,4.19,RU,1670613613
138,namibe,-15.1961,12.1522,21.51,65,98,3.63,AO,1670613613
139,tuktoyaktuk,69.4541,-133.0374,-28.0,76,75,3.6,CA,1670613614
140,ribeira grande,38.5167,-28.7,16.22,94,75,14.31,PT,1670613615
141,flinders,-34.5833,150.8552,11.7,81,92,2.82,AU,1670613615
142,kautokeino,69.0125,23.0412,-16.13,96,75,5.05,NO,1670613615
143,hofn,64.2539,-15.2082,1.47,67,9,8.77,IS,1670613616
144,burnie,-41.0667,145.9167,9.74,86,15,4.18,AU,1670613616
145,upata,8.0086,-62.3989,26.77,69,100,1.66,VE,1670613617
146,hambantota,6.1241,81.1185,24.9,85,100,5.33,LK,1670613617
147,derzhavinsk,51.1,66.3167,-16.52,91,27,2.83,KZ,1670613618
148,danville,36.586,-79.395,11.35,74,100,2.57,US,1670613618
149,ponta delgada,37.7333,-25.6667,17.5,82,40,10.29,PT,1670613618
